class,parameter,min,max,value,calibration
parDormancyInduction,limitingPhotoperiod,12.7,13.5,13,
parDormancyInduction,notLimitingPhotoperiod,12,12.7,12,
parDormancyInduction,limitingTemperature,14,27,20,
parDormancyInduction,notLimitingTemperature,2,8,5,
parDormancyInduction,photoThermalThreshold,10,40,26,
parEndodormancy,limitingLowerTemperature,-10,-3,-6,
parEndodormancy,notLimitingLowerTemperature,-4,-1,-2.5,
parEndodormancy,notLimitingUpperTemperature,2,6,4,
parEndodormancy,limitingUpperTemperature,6,9,7.5,
parEndodormancy,chillingThreshold,60,120,70,x
parEcodormancy,notLimitingTemperature,18,24,20,
parEcodormancy,notLimitingPhotoperiod,9.5,12.5,11.5,
parEcodormancy,photoThermalThreshold,3,25,40,x
parGrowth,minimumTemperature,-2,8,0,
parGrowth,optimumTemperature,15,24,22,x
parGrowth,maximumTemperature,32,38,35,
parGrowth,thermalThreshold,25,45,25,x
parGreendown,thermalThreshold,50,130,50,x
parSenescence,limitingPhotoperiod,12.7,13.5,13,
parSenescence,notLimitingPhotoperiod,12,12.7,12,
parSenescence,limitingTemperature,14,22,20,
parSenescence,notLimitingTemperature,2,8,5,
parSenescence,photoThermalThreshold,60,90,40,x
parVegetationIndex,nVIGrowth,1,4.5,1,x
parVegetationIndex,nVISenescence,.1,.8,1,x
parVegetationIndex,nVIGreendown,.03,.2,1,x
parVegetationIndex,nVIEcodormancy,.25,1.2,2,x
parVegetationIndex,nVIEndodormancy,.2,.8,.5,x
parVegetationIndex,minimumVI,.05,.3,1,x
parVegetationIndex,maximumVI,.53,.8,1,x
parPhotosynthesis,minimumTemperature,-10,3,-5,
parPhotosynthesis,optimumTemperature,12,30,18,
parPhotosynthesis,maximumTemperature,42,50,45,
parPhotosynthesis,halfSaturationTree,300,1000,300,
parPhotosynthesis,halfSaturationUnder,20,500,200,
parPhotosynthesis,waterStressDays,30,90,60,
parPhotosynthesis,waterStressThreshold,.25,1,.6,
parPhotosynthesis,waterStressSensitivity,0.3,1,.6,
parPhotosynthesis,maximumQuantumYieldOver,.06,.26,.2,
parPhotosynthesis,maximumQuantumYieldUnder,.04,.24,.2,
parPhotosynthesis,vpdSensitivity,2,8,4.5,
parPhotosynthesis,vpdMin,.3,3,2,
parPhotosynthesis,vpdMax,2,6.5,5,
parPhotosynthesis,declineSteepness,1,5,3,
parPhotosynthesis,declineStartSteep,0.1,.8,0.45,
parPhotosynthesis,circadianActivationPhoto,0,0.2,0.08,
parPhotosynthesis,circadianDayShiftHours,-2,2,-1,
parRespiration,activationEnergyParameter,40,350,150,
parRespiration,referenceRespiration,0.5,7,4,
parRespiration,fractionGppToFastPool,0.15,0.3,0.21,
parRespiration,fastPoolTurnover,0.001,0.54,0.09,
parRespiration,slowPoolTurnover,0.00001,0.1,0.04,
parRespiration,carbonUseEfficiencyOver,0.4,.9,0.65,
parRespiration,carbonUseEfficiencyUnder,0.3,.9,0.65,
parRespiration,Tref,10,20,15,
parRespiration,respirationYoungBoost,1.3,3,2.2,
parRespiration,respirationYoungPow,1,6,3.5,
parRespiration,respirationSenescenceBoost,1.3,2,1.65,
parRespiration,respirationSenescencePow,3,4,3.5,
parRespiration,circadianActivationReco,0,0.03,0.2,
